"H_001.txt","Holy Grail","To them, Montessori or HighScope, Reggio Emilia or Waldorf, or some other school of pre-K pedagogy embodies the","."
"H_001.txt","National Association","A preschool in Chicago that I visited a few years earlier boasted that it was certified by the","for the Education of Young Children, the pre-K equivalent of the Good Housekeeping seal."
"H_001.txt","Union City","As soon as I walked into Celia Rojas's prekindergarten class in",", N.J., I was sucked in by the hum of activity."
"H_001.txt","Good Housekeeping","A preschool in Chicago that I visited a few years earlier boasted that it was certified by the National Association for the Education of Young Children, the pre-K equivalent of the","seal."
"H_001.txt","Celia Rojas","As soon as I walked into","'s prekindergarten class in Union City, N.J., I was sucked in by the hum of activity."
"H_001.txt","Reggio Emilia","To them, Montessori or HighScope,","or Waldorf, or some other school of pre-K pedagogy embodies the Holy Grail."
"H_001.txt","My Mother","A bunch of children were solving puzzles on a computer, while another group was building a pink cardboard chair, which they called ''A Chair for",".'"
"H_001.txt","Robert Pianta","After surveying preschools nationwide,",", dean of the <pos>University of Virginia Curry School of Education</pos>, concluded that ''superficial task demands, including giving directions and assigning routine tasks, predominate over children's involvement in appropriate conceptual or class-based activities.''

A preschool in Chicago that I visited a few years earlier boasted that it was certified by the National Association for the Education of Young Children, the pre-K equivalent of the Good Housekeeping seal. But it didn't merit that"
"H_001.txt","Deborah Stipek","",", a professor of education at <pos>Stanford</pos>, makes the point more bluntly: ''What I see in a lot of preschools is much worse than coloring between the lines. It's teachers yelling at kids all day.''

These two prekindergartens serve very different populations, but perhaps not the ones you might expect. The ''stay within the lines'' pre-K enrolls mainly middle-class youngsters, whose parents pay to send them there, while Ms. Rojas's classroom is in a public school in a poor immigrant commun"
"H_001.txt","Chicago","A preschool in","that I visited a few years earlier boasted that it was certified by the National Association for the Education of Young Children, the pre-K equivalent of the Good Housekeeping seal."
"H_002.txt","President Bill Clinton","The vetting committee, which includes an equal number of Republicans and Democrats, is peculiar to Washington State and was set up in the mid-1990s, when","was in the White House and Congress was under Republican control."
"H_002.txt","Judge Robart","''He was a person who valued the opinions of his colleagues,'' said Chuck Riley, the current head of Lane Powell, who worked with","there for more than a decade. '"
"H_002.txt","James Robart","The order on Friday by the judge,","of Federal District Court in Seattle, reversed the president's executive order restricting immigration from seven predominantly Muslim countries."
"H_002.txt","Washington State","McKay, a former United States attorney who is active in Republican politics in",", called Judge Robart ''a smart, thoughtful guy and very even-tempered.'"
"H_002.txt","Seattle Police Department","One of Judge Robart's highest-profile cases in recent years has been his oversight of a federal decree that requires the","to address allegations of excessive force and bias."
"H_002.txt","Judge Robart","She added that",", who earned his law degree at <pos>Georgetown University</pos>, needed to be seen in the context of the moderate Republican traditions of the Pacific Northwest.

One of Judge Robart's highest-profile cases in recent years has been his oversight of a federal decree that requires the Seattle Police Department to address allegations of excessive force and bias. During an oversight hearing last year, he cited the high number of deaths of African-Americans in officer-involved shootings. ''Black live"
"H_002.txt","Trial Lawyers","While in private practice, he was admitted to the American College of",", a prestigious, invitation-only group known for its rigorous vetting.

'"
"H_002.txt","Republican","McKay, a former United States attorney who is active in","politics in Washington State, called Judge Robart ''a smart, thoughtful guy and very even-tempered.'"
"H_002.txt","Pacific Northwest","She added that Judge Robart, who earned his law degree at <pos>Georgetown University</pos>, needed to be seen in the context of the moderate Republican traditions of the","."
"H_002.txt","United States","Durkan, another former","attorney, who served during the Obama administration, described Judge Robart as ''a very strict federal judge who believes in the rule of law.'"
"H_003.txt","The Constitution","","'s enshrinement of slavery, in this view, was a horrid expediency to win adoption in the South -- a malignancy that ultimately had to be excised in blood rather than an indelible original sin.

'"
"H_003.txt","Soft Despotism","Rahe taught last fall, a deep dive into Montesquieu, Rousseau and Tocqueville with the suggestive title drawn from one of the professor's books: ''",", Democracy's Drift.'"
"H_003.txt","Ronald Reagan","FOUNDATIONAL WORK: Constitution 101 is part of Hillsdale's rigorous core curriculum. (ED16); CAMPUS ICON:","stands on the Liberty Walk at <pos>Hillsdale College</pos>, which plays an active role in conservative thought and policy in Washington.; Larry P. Arnn, president of <pos>Hillsdale College</pos> (PHOTOGRAPHS BY SEAN PROCTOR FOR THE NEW YORK TIMES) (ED17)

Document NYTF000020170205ed250005q"
"H_003.txt","Michigan","<pos>Hillsdale</pos> attracts students from across the country (only a third are from","), and they don't wind up there by accident. Many said their parents received <pos>Hillsdale</pos>'s newsletter, Imprimis, featuring speeches by conservative thinkers. Some said they had heard Dr. Arnn on one of his regular appearances on Hugh Hewitt's syndicated radio program. They were also attracted by the moderate cost. <pos>Hillsdale</pos> is well financed with private donations, and college officials said that 95 percent of students this year received grants averaging $17,206, to offset th"
"H_003.txt","Continental Literature","Whalen, for example, an English professor as well as provost, ended his course ''Great Books in","'' with a look at Samuel Beckett's ''Endgame.'"
"H_003.txt","Frederick Douglass","There are statues of Washington and Lincoln, Jefferson and Churchill, and a monument to students who fought for the Union -- a point of pride at a college that was founded by abolitionists, visited by the crusading former slave","and open to black students and women from its founding in 1844."
"H_003.txt","Washington","FOUNDATIONAL WORK: Constitution 101 is part of Hillsdale's rigorous core curriculum. (ED16); CAMPUS ICON: Ronald Reagan stands on the Liberty Walk at <pos>Hillsdale College</pos>, which plays an active role in conservative thought and policy in",".; Larry P. Arnn, president of <pos>Hillsdale College</pos> (PHOTOGRAPHS BY SEAN PROCTOR FOR THE NEW YORK TIMES) (ED17)

Document NYTF000020170205ed250005q"
"H_003.txt","Samuel Beckett","Whalen, for example, an English professor as well as provost, ended his course ''Great Books in Continental Literature'' with a look at","'s ''Endgame.'"
"H_003.txt","Buckley Jr","",". -- it is considered a hidden gem.

What they admire is the college's concentration on the Western philosophical and literary canon (sometimes disparaged as the Great Books of dead white men) and its reverent treatment of the American founding documents as the political culmination of that tradition -- a tradition that scholars at Hillsdale say has been desecrated by a century of governmental overreach, including the New Deal and Obamacare.

It is no coincidence that Justice Clarence Thomas, an"
"H_003.txt","John Cage","One student drew a comparison to the music of",", which he had studied in another class."
"H_004.txt","Hiram Revels","ho had worked at the Library of Congress for more than 25 years and then served as one of its second-highest-ranking officials, assistant librarian. Murray had a seat on Washington's Board of Trade, a group of otherwise white businessmen that advised the government on taxation in the nation's capital. His wife, Anna Evans, was a confident black socialite who taught at local schools, attended <pos>Oberlin College</pos> and happened to be related to the highly regarded black United States senator","of Mississippi."
"H_004.txt","Chinese Embassy","s Academy and then <pos>Harvard University</pos>; he became <pos>Harvard</pos>'s first black graduate in 1870. James Wormley owned the Wormley Hotel, a luxury establishment that opened in 1871 and catered to affluent white visitors. (In a bitter irony, it was also the reported site of the Hayes-Tilden Compromise of 1877, which marked the end of Reconstruction.) The newspaper publisher Pinckney Pinchback served as lieutenant governor and acting governor of Louisiana, and owned a mansion near the","."
"H_004.txt","Muslim American","It was evident when the country took the land and the lives of a once-thriving Native American population, and again when the government endorsed the internment of innocent Japanese-American families during World War II; it can be seen again today, as a new president uses rhetoric that demonizes","citizens."
"H_004.txt","President Abraham Lincoln","His older half brother, Samuel Proctor, was not only a successful Washington caterer whose client list included",", but also the proprietor of one of the two restaurants in the Capitol."
"H_004.txt","Although Daniel Murray","","was born free in 1851 -- his father was a black lumberyard worker who had been manumitted in 1810, and his mother was a free woman of color -- in Taylor's prologue we are first introduced to a 48-year-old Murray."
"H_004.txt","Daniel Murray","'' Taylor, an independent scholar and the author of ''A Slave in the White House: Paul Jennings and the Madisons,'' understands the mind-set of the black elite, and she quickly points out that despite his own rise to the top, ''","was 'a race man to the core' '':

''If he took any pride in being the first black man to join this organization or the only one to be invited to that social occasion, his greater goal, his long-range vision, was to be in the vanguard of merit-based recognition for every American of color."
"H_004.txt","Our Kind","Lawrence Otis Graham is an attorney and the author of ''","of People: Inside America's Black Upper Class'' and ''The Senator and the Socialite: The True Story of America's First Black Dynasty.'"
"H_004.txt","Anna Evans","His wife,",", was a confident black socialite who taught at local schools, attended <pos>Oberlin College</pos> and happened to be related to the highly regarded black United States senator Hiram Revels of Mississippi. Murray had sons who would later attend <pos>Harvard</pos> and <pos>Cornell</pos>. He had the ear of white co-workers and business leaders, and he often met with white congressmen and their staffers who needed his guidance when researching legislative history in the library's archives.

On the"
"H_004.txt","Black Upper Class","Lawrence Otis Graham is an attorney and the author of ''Our Kind of People: Inside America's","'' and ''The Senator and the Socialite: The True Story of America's First Black Dynasty.'"
"H_004.txt","Admiral George Dewey","The 40-some passengers -- all white, except for Murray -- made up a special welcoming committee appointed by President William McKinley, on the occasion of honoring","for his victory in Manila Bay."
"H_005.txt","Ed Meese","''There was obviously a lot of controversy regarding her work as she was carrying out the president's program,''",", a top Reagan adviser, recalled. '"
"H_005.txt","May","ORK TIMES) (A16); Neil Gorsuch's childhood home in Denver, a city where he is now based as an appeals court judge. (PHOTOGRAPH BY NICK COTE FOR THE NEW YORK TIMES); Anne Gorsuch Burford resigned from her position as leader of the Environmental Protection Agency. (PHOTOGRAPH BY BETTMANN/GETTY IMAGES); Mr. Gorsuch, left, with classmates in his junior year at Georgetown Preparatory School in 1984. (PHOTOGRAPH BY GEORGETOWN PREPARATORY SCHOOL YEARBOOK); Students protesting at <pos>Columbia</pos> in","1985, the semester before Mr."
"H_005.txt","Norm Eisen","Judge Gorsuch befriended liberals, including",", later a White House aide and ambassador under Mr."
"H_005.txt","San Diego","Segal, a Harvard Law School classmate who is now a lawyer in",". '"
